,question,intent_question,history,conversation_id,document_url_question,domain_question,text_answer,intent_answer,domain_answer,question_id,title,description,ingredients,steps
248,What should I grow the sprouts in?,ask_question_recipe_steps,student: How long does it take to grow broccoli sprouts? | teacher: The sprouts take four days to grow.,Wizard-of-Task-diy-97,https://www.wikihow.com/Grow-Broccoli-Sprouts,diy,The instructions indicate no need to stake the tree. ,answer_question_recipe_steps,diy,diy-97-1,How to Grow Broccoli Sprouts,"
Broccoli sprouts are packed with nutrients, including carbohydrates, protein, fiber, antioxidants, and a variety of vitamins and minerals. Many grocery stores and health food stores carry broccoli sprouts, but you can also grow your own. The process involves soaking broccoli seeds overnight, and then keeping them somewhere warm and dark for the next week as they germinate. The key to healthy sprouts is regular rinsing and draining, because this will prevent mold and fungi from growing.

",,"['Choose a 1-quart (1-L) glass or plastic jar.', 'Measure the seeds.', 'Combine the seeds with filtered water in the jar.', 'Cover the jar with cheesecloth.', 'Transfer the seeds to a warm, dark place.', 'Soak the seeds for about 8 hours.', 'Drain and rinse the seeds.', 'Return the seeds to the jar.', 'Rinse and drain the seeds every 6 to 8 hours for up to 4 days.', 'Move the sprouts to indirect sunlight after 3 to 4 days.', 'Continue rinsing every 6 to 8 hours for another 1 to 2 days.', 'Remove the hulls.', 'Rinse and drain the sprouts one last time.', 'Store leftover sprouts in the refrigerator for up to 2 weeks.', 'Eat the sprouts', 'on their own.', 'Add the sprouts to salads.', 'Use them as a sandwich topping.']"
249,"Alright, what will I need to use the cheesecloth for?",ask_question_recipe_steps,"student: Are there any other tools or materials I need besides the glass jar? | teacher: You will also need a cheese cloth or towel, a colander, and an elastic. | student: Could you clarify what a cheesecloth is for me? | teacher: A cheesecloth is a loosely woven cotton cloth.",Wizard-of-Task-diy-97,https://www.wikihow.com/Grow-Broccoli-Sprouts,diy,You want to be in a warm place but not in direct sunlight. ,answer_question_recipe_steps,diy,diy-97-4,How to Grow Broccoli Sprouts,"
Broccoli sprouts are packed with nutrients, including carbohydrates, protein, fiber, antioxidants, and a variety of vitamins and minerals. Many grocery stores and health food stores carry broccoli sprouts, but you can also grow your own. The process involves soaking broccoli seeds overnight, and then keeping them somewhere warm and dark for the next week as they germinate. The key to healthy sprouts is regular rinsing and draining, because this will prevent mold and fungi from growing.

",,"['Choose a 1-quart (1-L) glass or plastic jar.', 'Measure the seeds.', 'Combine the seeds with filtered water in the jar.', 'Cover the jar with cheesecloth.', 'Transfer the seeds to a warm, dark place.', 'Soak the seeds for about 8 hours.', 'Drain and rinse the seeds.', 'Return the seeds to the jar.', 'Rinse and drain the seeds every 6 to 8 hours for up to 4 days.', 'Move the sprouts to indirect sunlight after 3 to 4 days.', 'Continue rinsing every 6 to 8 hours for another 1 to 2 days.', 'Remove the hulls.', 'Rinse and drain the sprouts one last time.', 'Store leftover sprouts in the refrigerator for up to 2 weeks.', 'Eat the sprouts', 'on their own.', 'Add the sprouts to salads.', 'Use them as a sandwich topping.']"
250,Do you know what kind of mesh I can use instead of the cheesecloth?,ask_question_ingredients_tools,"student: Could you clarify what a cheesecloth is for me? | teacher: A cheesecloth is a loosely woven cotton cloth. | student: Alright, what will I need to use the cheesecloth for? | teacher: You use the cheesecloth to cover the jar.",Wizard-of-Task-diy-97,https://www.wikihow.com/Grow-Broccoli-Sprouts,diy,About 4 inches will be enough. ,answer_question_recipe_steps,diy,diy-97-5,How to Grow Broccoli Sprouts,"
Broccoli sprouts are packed with nutrients, including carbohydrates, protein, fiber, antioxidants, and a variety of vitamins and minerals. Many grocery stores and health food stores carry broccoli sprouts, but you can also grow your own. The process involves soaking broccoli seeds overnight, and then keeping them somewhere warm and dark for the next week as they germinate. The key to healthy sprouts is regular rinsing and draining, because this will prevent mold and fungi from growing.

",,"['Choose a 1-quart (1-L) glass or plastic jar.', 'Measure the seeds.', 'Combine the seeds with filtered water in the jar.', 'Cover the jar with cheesecloth.', 'Transfer the seeds to a warm, dark place.', 'Soak the seeds for about 8 hours.', 'Drain and rinse the seeds.', 'Return the seeds to the jar.', 'Rinse and drain the seeds every 6 to 8 hours for up to 4 days.', 'Move the sprouts to indirect sunlight after 3 to 4 days.', 'Continue rinsing every 6 to 8 hours for another 1 to 2 days.', 'Remove the hulls.', 'Rinse and drain the sprouts one last time.', 'Store leftover sprouts in the refrigerator for up to 2 weeks.', 'Eat the sprouts', 'on their own.', 'Add the sprouts to salads.', 'Use them as a sandwich topping.']"
251,I put the seeds into a clothing closet. Is this a good location?,ask_question_recipe_steps,"student: Okay I have completed it and the seeds and water are in the jar. What should i do next? | teacher: Next cover the jar with cheesecloth.  To do so, place the cheesecloth over the mouth of the jar and use an elastic band or a mason jar ring to secure it in place.  See the instructions attached for more details. | student: None | teacher: Assuming you have covered the jar with cheesecloth, you will now need to transfer the seeds to a dark, warm place (such as a cabinet or pantry). The goal is to replicate the conditions seeds experience in soil to encourage germination",Wizard-of-Task-diy-97,https://www.wikihow.com/Grow-Broccoli-Sprouts,diy,A clay with a consistence like baking powder would be best,answer_question_recipe_steps,diy,diy-97-7,How to Grow Broccoli Sprouts,"
Broccoli sprouts are packed with nutrients, including carbohydrates, protein, fiber, antioxidants, and a variety of vitamins and minerals. Many grocery stores and health food stores carry broccoli sprouts, but you can also grow your own. The process involves soaking broccoli seeds overnight, and then keeping them somewhere warm and dark for the next week as they germinate. The key to healthy sprouts is regular rinsing and draining, because this will prevent mold and fungi from growing.

",,"['Choose a 1-quart (1-L) glass or plastic jar.', 'Measure the seeds.', 'Combine the seeds with filtered water in the jar.', 'Cover the jar with cheesecloth.', 'Transfer the seeds to a warm, dark place.', 'Soak the seeds for about 8 hours.', 'Drain and rinse the seeds.', 'Return the seeds to the jar.', 'Rinse and drain the seeds every 6 to 8 hours for up to 4 days.', 'Move the sprouts to indirect sunlight after 3 to 4 days.', 'Continue rinsing every 6 to 8 hours for another 1 to 2 days.', 'Remove the hulls.', 'Rinse and drain the sprouts one last time.', 'Store leftover sprouts in the refrigerator for up to 2 weeks.', 'Eat the sprouts', 'on their own.', 'Add the sprouts to salads.', 'Use them as a sandwich topping.']"
252,Why do I need to drain the sprouts for at least an hour if I'm air drying them anyway?,ask_question_recipe_steps,"student: These sprouted well, what's done with them afterwards? | teacher: Remove the hulls and transfer to a large bowl when the leaves are dark green. | student: I have transferred to a bowl, what is next? | teacher: You'll need to rinse and drain them again. Use a colander and let them drain for at least an hour. Then move them to a tea towel to air dry. ",Wizard-of-Task-diy-97,https://www.wikihow.com/Grow-Broccoli-Sprouts,diy,You would want to use clay kitty litter which absorbs odors. I have also listed more alternatives.,answer_question_recipe_steps,diy,diy-97-8,How to Grow Broccoli Sprouts,"
Broccoli sprouts are packed with nutrients, including carbohydrates, protein, fiber, antioxidants, and a variety of vitamins and minerals. Many grocery stores and health food stores carry broccoli sprouts, but you can also grow your own. The process involves soaking broccoli seeds overnight, and then keeping them somewhere warm and dark for the next week as they germinate. The key to healthy sprouts is regular rinsing and draining, because this will prevent mold and fungi from growing.

",,"['Choose a 1-quart (1-L) glass or plastic jar.', 'Measure the seeds.', 'Combine the seeds with filtered water in the jar.', 'Cover the jar with cheesecloth.', 'Transfer the seeds to a warm, dark place.', 'Soak the seeds for about 8 hours.', 'Drain and rinse the seeds.', 'Return the seeds to the jar.', 'Rinse and drain the seeds every 6 to 8 hours for up to 4 days.', 'Move the sprouts to indirect sunlight after 3 to 4 days.', 'Continue rinsing every 6 to 8 hours for another 1 to 2 days.', 'Remove the hulls.', 'Rinse and drain the sprouts one last time.', 'Store leftover sprouts in the refrigerator for up to 2 weeks.', 'Eat the sprouts', 'on their own.', 'Add the sprouts to salads.', 'Use them as a sandwich topping.']"
253,Seeing all of the cleaning steps at once is kind of confusing to me. Can you tell me the first part of the cleaning process?,ask_question_recipe_steps,"student: Will I need a special cleaning solution to clean silk flowers? | teacher: You can wash the silk flowers in water or, if very dirty, water with a bit of dish soap. I have also shared the full step.",Wizard-of-Task-diy-98,https://www.wikihow.com/Clean-Silk-Flowers,diy,You can clean the material out in a week. I've shared the details here.,answer_question_recipe_steps,diy,diy-98-1,How to Clean Silk Flowers,"
Silk flowers and other types of artificial blooms and greenery can enhance the look and feel of a room. Like other accessories, there is a need to clean silk arrangements from time to time in order to keep them looking vibrant and new. For deep cleaning, you can wash your flowers in water or vinegar. To remove built-up dust, things like compressed air work well. Light dusting can help keep flowers clean on a regular basis. Vacuuming and blow-drying your flowers regularly can keep them clean and fresh.

",,"['Use a bag of rice.', 'Shake your flowers in cornmeal.', 'Try compressed air.', 'Use a hairdryer on low speed.', 'Wash your flowers in water.', 'Use vinegar.', 'Try cleaning sprays.', 'Use the dishwasher.', 'Use a duster.', 'Vacuum your flowers.', 'Try a blow dryer.']"
254,"You repeated the same information, which is really confusing. Would you please break it down into something more simple?",ask_question_recipe_steps,"student: Will I need a special cleaning solution to clean silk flowers? | teacher: You can wash the silk flowers in water or, if very dirty, water with a bit of dish soap. I have also shared the full step. | student: Seeing all of the cleaning steps at once is kind of confusing to me. Can you tell me the first part of the cleaning process? | teacher: I have attached the first step you will need to do in the cleaning process.",Wizard-of-Task-diy-98,https://www.wikihow.com/Clean-Silk-Flowers,diy,After you have tried the baking soda we will spray it down with vinegar and water. The details are shared here.,answer_question_recipe_steps,diy,diy-98-2,How to Clean Silk Flowers,"
Silk flowers and other types of artificial blooms and greenery can enhance the look and feel of a room. Like other accessories, there is a need to clean silk arrangements from time to time in order to keep them looking vibrant and new. For deep cleaning, you can wash your flowers in water or vinegar. To remove built-up dust, things like compressed air work well. Light dusting can help keep flowers clean on a regular basis. Vacuuming and blow-drying your flowers regularly can keep them clean and fresh.

",,"['Use a bag of rice.', 'Shake your flowers in cornmeal.', 'Try compressed air.', 'Use a hairdryer on low speed.', 'Wash your flowers in water.', 'Use vinegar.', 'Try cleaning sprays.', 'Use the dishwasher.', 'Use a duster.', 'Vacuum your flowers.', 'Try a blow dryer.']"
255,can I use something abrasive to clean?,ask_question_ingredients_tools,"student: I'm interested in a wet cleaning | student: Ok I decided to do wet cleaning, can you tell me the next steps? | teacher: I have attached the first step for a wet cleaning. | teacher: Here you go, I've attached the first step to a wet cleaning.",Wizard-of-Task-diy-98,https://www.wikihow.com/Clean-Silk-Flowers,diy,The newspaper is the item that is absorbing the odors ,answer_question_recipe_steps,diy,diy-98-3,How to Clean Silk Flowers,"
Silk flowers and other types of artificial blooms and greenery can enhance the look and feel of a room. Like other accessories, there is a need to clean silk arrangements from time to time in order to keep them looking vibrant and new. For deep cleaning, you can wash your flowers in water or vinegar. To remove built-up dust, things like compressed air work well. Light dusting can help keep flowers clean on a regular basis. Vacuuming and blow-drying your flowers regularly can keep them clean and fresh.

",,"['Use a bag of rice.', 'Shake your flowers in cornmeal.', 'Try compressed air.', 'Use a hairdryer on low speed.', 'Wash your flowers in water.', 'Use vinegar.', 'Try cleaning sprays.', 'Use the dishwasher.', 'Use a duster.', 'Vacuum your flowers.', 'Try a blow dryer.']"
256,How long will it take to dry if the temperature is about 78 degrees?,ask_question_recipe_steps,"student: Do these types of flowers usually take a very long time to air dry? | teacher: You should use something gentle to not disturb the flowers. | teacher: Drying times will depend on the environment, mainly down to ambient temperature and humidity. | student: That's a very good suggestion! My flowers are air drying now. What should I work on while they dry?",Wizard-of-Task-diy-98,https://www.wikihow.com/Clean-Silk-Flowers,diy,"You'll want to leave it in there for a week or two, but you can try replacing it every few days to speed up the process.",answer_question_recipe_steps,diy,diy-98-5,How to Clean Silk Flowers,"
Silk flowers and other types of artificial blooms and greenery can enhance the look and feel of a room. Like other accessories, there is a need to clean silk arrangements from time to time in order to keep them looking vibrant and new. For deep cleaning, you can wash your flowers in water or vinegar. To remove built-up dust, things like compressed air work well. Light dusting can help keep flowers clean on a regular basis. Vacuuming and blow-drying your flowers regularly can keep them clean and fresh.

",,"['Use a bag of rice.', 'Shake your flowers in cornmeal.', 'Try compressed air.', 'Use a hairdryer on low speed.', 'Wash your flowers in water.', 'Use vinegar.', 'Try cleaning sprays.', 'Use the dishwasher.', 'Use a duster.', 'Vacuum your flowers.', 'Try a blow dryer.']"
257,Is mosaics a type of pattern? ,ask_question_ingredients_tools,,Wizard-of-Task-diy-99,https://www.wikihow.com/Do-Mosaics,diy,March or april is a good time.,answer_question_recipe_steps,diy,diy-99-0,How to Do Mosaics,"
Mosaics are works of art created by using glass or ceramic tiles and grout to make a picture. Mosaics adorn the ceilings in cathedrals with elaborate details, but they can be found in a simple pattern on the coffee table in your home. With practice, you can create a custom mosaic all your own.

",,"['Pick the base to glue the mosaic tiles on.', 'Select the material you want to use to make your mosaic design.', 'Sketch your design on the base.', 'Lay your mosaic pieces over your design before gluing them down.', 'Choose the right adhesive for the materials you are using.', 'Mix your adhesive per manufacturer recommendations, if necessary.', 'Spread the adhesive on the base with a trowel or spatula.', 'Arrange the mosaic pieces on top of your design.', 'Let the adhesive set.', 'Choose your grout.', 'Prepare the grout mixture.', 'Apply the grout using a spatula.', 'Let the grout set and wipe away the excess.', 'Apply sealant to the mosaic to protect it.']"
258,"I have laid out my pieces, now to i glue them on one by one?",ask_question_recipe_steps,"student: Okay I have retrieved enough pieces and I have donned gloves, how do I start putting my mosaic together? | teacher: After you have the materials you are going to want to sketch your design. I have included the steps here. | student: Tile nippers, thank you, that's the tool I was thinking of! OK I nipped some pieces as small as I need them and am laying out the design. What will I do when I've filled in my whole pattern? | teacher: At this point, you'll want to let the adhesive set. 24 hours is usually good for indoors, 72 for outdoors.",Wizard-of-Task-diy-99,https://www.wikihow.com/Do-Mosaics,diy,First check to ensure you completed the previous step correctly. You should be dividing not subtracting. Once that is complete we can move on. We will fold our felt in half to find the midpoint. I've detailed the step here.,answer_question_recipe_steps,diy,diy-99-5,How to Do Mosaics,"
Mosaics are works of art created by using glass or ceramic tiles and grout to make a picture. Mosaics adorn the ceilings in cathedrals with elaborate details, but they can be found in a simple pattern on the coffee table in your home. With practice, you can create a custom mosaic all your own.

",,"['Pick the base to glue the mosaic tiles on.', 'Select the material you want to use to make your mosaic design.', 'Sketch your design on the base.', 'Lay your mosaic pieces over your design before gluing them down.', 'Choose the right adhesive for the materials you are using.', 'Mix your adhesive per manufacturer recommendations, if necessary.', 'Spread the adhesive on the base with a trowel or spatula.', 'Arrange the mosaic pieces on top of your design.', 'Let the adhesive set.', 'Choose your grout.', 'Prepare the grout mixture.', 'Apply the grout using a spatula.', 'Let the grout set and wipe away the excess.', 'Apply sealant to the mosaic to protect it.']"
259,How much grout will I need?,ask_question_recipe_steps,student: How will I know when the adhesive is properly set? | teacher: Wait the full 72 hours or longer to make sure it is completely dry. | student: What should I do once the adhesive is totally dry? | teacher: Now you can add some grout! I've added some information on choosing the right grout for you here.,Wizard-of-Task-diy-99,https://www.wikihow.com/Do-Mosaics,diy,You will want to fill a bucket with the lukewarm water and add 5-10 drops of dish soap to it. ,answer_question_recipe_steps,diy,diy-99-11,How to Do Mosaics,"
Mosaics are works of art created by using glass or ceramic tiles and grout to make a picture. Mosaics adorn the ceilings in cathedrals with elaborate details, but they can be found in a simple pattern on the coffee table in your home. With practice, you can create a custom mosaic all your own.

",,"['Pick the base to glue the mosaic tiles on.', 'Select the material you want to use to make your mosaic design.', 'Sketch your design on the base.', 'Lay your mosaic pieces over your design before gluing them down.', 'Choose the right adhesive for the materials you are using.', 'Mix your adhesive per manufacturer recommendations, if necessary.', 'Spread the adhesive on the base with a trowel or spatula.', 'Arrange the mosaic pieces on top of your design.', 'Let the adhesive set.', 'Choose your grout.', 'Prepare the grout mixture.', 'Apply the grout using a spatula.', 'Let the grout set and wipe away the excess.', 'Apply sealant to the mosaic to protect it.']"
260,What kinds of tools am I going to need? ,ask_question_ingredients_tools,,Wizard-of-Task-diy-100,https://www.wikihow.com/Decorate-a-Buffet-Table,diy,After we are done cleaning with the soap water solution we then rinse the bucket and sponge and wipe the rims off with just water to remove the soap. I've shared the step here.,answer_question_recipe_steps,diy,diy-100-0,How to Decorate a Buffet Table,"
Setting up a buffet table requires planning for both convenience and appeal. In essence, your buffet is the centerpiece of your event, so you should put a lot of time and effort into making it engaging. By choosing a theme, getting a tasteful amount of decorations, creating a logical progression for your guests, and doing a trial run, you can ensure that your table will be decorated beautifully and conveniently for your event.

",,"['Choose a color theme.', 'Buy or make items related to your theme.', 'Avoid overdoing the decorations.', 'Coordinate your tablecloth, a table runner, napkins, and placemats.', 'Prepare a label for each food item.', 'Consider making a menu to display.', 'Plan your arrangement before you begin placing the decorations.', 'Set up a logical journey down the table.', 'Move your buffet table to a convenient location.', 'Lay down your tablecloth or table runner.', 'Put the plates and bowls at the beginning of the buffet table.', 'Place the utensils at the end of the table.', 'Set the napkins near the utensils, or wrap the utensils in the napkins.', 'wrap the utensils in the napkins', 'Have multiple stacks of plates, cups, utensils, and napkins.', 'Leave space for people to momentarily set their plates down.', 'Do a practice run.', 'Elevate some of your dishes.', 'Arrange your themed decorations.', 'Set out candles.']"
261,I'm going to decorate my buffet for the Thanksgiving Holiday!  What supplies do I need to gather?,ask_question_ingredients_tools,student: What kinds of tools am I going to need?  | teacher: the first step is to choose a color theme ,Wizard-of-Task-diy-100,https://www.wikihow.com/Decorate-a-Buffet-Table,diy,Lukewarm water would be best for now,answer_question_recipe_steps,diy,diy-100-1,How to Decorate a Buffet Table,"
Setting up a buffet table requires planning for both convenience and appeal. In essence, your buffet is the centerpiece of your event, so you should put a lot of time and effort into making it engaging. By choosing a theme, getting a tasteful amount of decorations, creating a logical progression for your guests, and doing a trial run, you can ensure that your table will be decorated beautifully and conveniently for your event.

",,"['Choose a color theme.', 'Buy or make items related to your theme.', 'Avoid overdoing the decorations.', 'Coordinate your tablecloth, a table runner, napkins, and placemats.', 'Prepare a label for each food item.', 'Consider making a menu to display.', 'Plan your arrangement before you begin placing the decorations.', 'Set up a logical journey down the table.', 'Move your buffet table to a convenient location.', 'Lay down your tablecloth or table runner.', 'Put the plates and bowls at the beginning of the buffet table.', 'Place the utensils at the end of the table.', 'Set the napkins near the utensils, or wrap the utensils in the napkins.', 'wrap the utensils in the napkins', 'Have multiple stacks of plates, cups, utensils, and napkins.', 'Leave space for people to momentarily set their plates down.', 'Do a practice run.', 'Elevate some of your dishes.', 'Arrange your themed decorations.', 'Set out candles.']"
262,Can I make all the center pieces same?,ask_question_recipe_steps,"student: I have gathered some decorations, what should I do next? | teacher: You should now buy or make items related to your theme. You can create a centerpiece that uses your theme as well. Ribbons, seashells, fruits, and many more things are all good ideas. | student: I have items to make a centerpiece, how do I hold the pieces in place? | teacher: Each centerpiece is different. There is no one set of instructions to help you hold the pieces in place.",Wizard-of-Task-diy-100,https://www.wikihow.com/Decorate-a-Buffet-Table,diy,A clean and dry microfiber cloth is best,answer_question_recipe_steps,diy,diy-100-3,How to Decorate a Buffet Table,"
Setting up a buffet table requires planning for both convenience and appeal. In essence, your buffet is the centerpiece of your event, so you should put a lot of time and effort into making it engaging. By choosing a theme, getting a tasteful amount of decorations, creating a logical progression for your guests, and doing a trial run, you can ensure that your table will be decorated beautifully and conveniently for your event.

",,"['Choose a color theme.', 'Buy or make items related to your theme.', 'Avoid overdoing the decorations.', 'Coordinate your tablecloth, a table runner, napkins, and placemats.', 'Prepare a label for each food item.', 'Consider making a menu to display.', 'Plan your arrangement before you begin placing the decorations.', 'Set up a logical journey down the table.', 'Move your buffet table to a convenient location.', 'Lay down your tablecloth or table runner.', 'Put the plates and bowls at the beginning of the buffet table.', 'Place the utensils at the end of the table.', 'Set the napkins near the utensils, or wrap the utensils in the napkins.', 'wrap the utensils in the napkins', 'Have multiple stacks of plates, cups, utensils, and napkins.', 'Leave space for people to momentarily set their plates down.', 'Do a practice run.', 'Elevate some of your dishes.', 'Arrange your themed decorations.', 'Set out candles.']"
263,What are considered neutral colors and can i use it for my buffet table?,ask_question_recipe_steps,"student: Alright how many decorations would be too many? | teacher: You should just make sure the decorations are not heavy enough to break the table. | student: My table is all decorated and I think it looks pretty dang good, if I do say so myself!  Anything else you'd recommend as a finishing touch? | teacher: You want to coordinate your table cloth, table runner, napkins, and placemats",Wizard-of-Task-diy-100,https://www.wikihow.com/Decorate-a-Buffet-Table,diy,You want to keep in mind that most gardenia varieties grow better in tropical and subtropical climates,answer_question_recipe_steps,diy,diy-100-5,How to Decorate a Buffet Table,"
Setting up a buffet table requires planning for both convenience and appeal. In essence, your buffet is the centerpiece of your event, so you should put a lot of time and effort into making it engaging. By choosing a theme, getting a tasteful amount of decorations, creating a logical progression for your guests, and doing a trial run, you can ensure that your table will be decorated beautifully and conveniently for your event.

",,"['Choose a color theme.', 'Buy or make items related to your theme.', 'Avoid overdoing the decorations.', 'Coordinate your tablecloth, a table runner, napkins, and placemats.', 'Prepare a label for each food item.', 'Consider making a menu to display.', 'Plan your arrangement before you begin placing the decorations.', 'Set up a logical journey down the table.', 'Move your buffet table to a convenient location.', 'Lay down your tablecloth or table runner.', 'Put the plates and bowls at the beginning of the buffet table.', 'Place the utensils at the end of the table.', 'Set the napkins near the utensils, or wrap the utensils in the napkins.', 'wrap the utensils in the napkins', 'Have multiple stacks of plates, cups, utensils, and napkins.', 'Leave space for people to momentarily set their plates down.', 'Do a practice run.', 'Elevate some of your dishes.', 'Arrange your themed decorations.', 'Set out candles.']"
264,Are the stickers easily removable from the display? ,ask_question_recipe_steps,"student: Do you think it's better if i put my signs on skewers and have them sticking out of the food, or better on a folded card that sits in front of the serving dish? | teacher: That's a personal choice, but putting them on skewers would be more visible. | student: Okay and after I've put them on skewers what should I do next?  | teacher: Incorporate the decorative labels into your table by sticking them into the center of the food displays or just behind them.",Wizard-of-Task-diy-100,https://www.wikihow.com/Decorate-a-Buffet-Table,diy,If it's too basic add sulfur. That should do the trick.,answer_question_recipe_steps,diy,diy-100-7,How to Decorate a Buffet Table,"
Setting up a buffet table requires planning for both convenience and appeal. In essence, your buffet is the centerpiece of your event, so you should put a lot of time and effort into making it engaging. By choosing a theme, getting a tasteful amount of decorations, creating a logical progression for your guests, and doing a trial run, you can ensure that your table will be decorated beautifully and conveniently for your event.

",,"['Choose a color theme.', 'Buy or make items related to your theme.', 'Avoid overdoing the decorations.', 'Coordinate your tablecloth, a table runner, napkins, and placemats.', 'Prepare a label for each food item.', 'Consider making a menu to display.', 'Plan your arrangement before you begin placing the decorations.', 'Set up a logical journey down the table.', 'Move your buffet table to a convenient location.', 'Lay down your tablecloth or table runner.', 'Put the plates and bowls at the beginning of the buffet table.', 'Place the utensils at the end of the table.', 'Set the napkins near the utensils, or wrap the utensils in the napkins.', 'wrap the utensils in the napkins', 'Have multiple stacks of plates, cups, utensils, and napkins.', 'Leave space for people to momentarily set their plates down.', 'Do a practice run.', 'Elevate some of your dishes.', 'Arrange your themed decorations.', 'Set out candles.']"
265,I'm not very familiar with some of these tools. Can you explain what a washer is and tell me where I can buy this item?,ask_question_ingredients_tools,student: what should I do next?,Wizard-of-Task-diy-101,https://www.wikihow.com/Insulate-a-Garage-Door,diy,It helps the plant produce more blooms. ,answer_question_recipe_steps,diy,diy-101-0,How to Insulate a Garage Door,"
In a lot of garages, the only thing protecting the inside from the elements is a thing sheet of metal or wood. If you spend a lot of time in your garage or have living spaces sitting over your garage in your home, this thin layer of protection may become very noticeable in extreme temperatures. By measuring your garage door properly and using either foam board or a garage door insulation kit, you can reduce your energy bills, make your garage more comfortable, and easily insulate your garage door.

",,"['Go with foam board or reflective paneling for lighter insulation.', 'Get a garage door insulation kit for more effective insulation.', 'Face the foiled side in the direction you want to reflect the most heat.', 'Clean your garage door with a household cleaner and paper towels.', 'Measure the dimensions of your interior door panels.', 'Purchase your insulation.', 'The capacity for a material to insulate is measured by its “R-value”.', 'Cut the foam board or reflective paneling to the right size.', 'Press the insulation into place if you have panel railings.', 'Use a strong adhesive for a door without panels.', 'Repeat until your garage door is covered.', 'Clean and dry the garage door.', 'Measure the height and width of your door.', 'Purchase a garage door insulation kit.', 'Install the retaining pins across your door panels.', 'Cut the batting to the size of your door panels.', 'Press the batting onto the retaining pins.', 'Make a cross-shaped incision over the pins.', 'Secure the batting in place with a fastener.', 'Use aluminum foil tape to hold any loose edges.']"
266,"During the summer, should I mist my plant every day?",ask_question_recipe_steps,student: Is waiting until the plant begins to wilt to water it going to be harmful to the plant? | teacher: No it will not be harmful | student: Good to know!  Are there any other steps beyond making sure it is watered appropriately? | teacher: You need to mist the leave several times a week with a spray bottle ,Wizard-of-Task-diy-102,https://www.wikihow.com/Care-for-Peace-Lilies,diy,You will want to leave it like that for now,answer_question_recipe_steps,diy,diy-102-4,How to Care for Peace Lilies,"
Peace lilies are one of the most popular varieties of houseplants. They're easy to maintain, and they can make a lovely addition to your home. By properly caring for your peace lilies, you'll have beautiful houseplants for years to come.
Horticulturist Lauren Kurtz writes: ""The Peace Lily loves its shade! Curled and pale leaves can indicate too much light and dried and browning leaves can be damaged from direct sunlight. Place this plant in low to moderate light conditions and never in the direct sun.""
",,"['Choose a spot for your peace lily.', 'Water the peace lily adequately.', 'Mist the leaves several times a week with a spray bottle.', 'Trim any unhealthy leaves from your plant.', 'If you fertilize, do so cautiously.', 'Recognize the signs that signify that re-potting is necessary.', 'Use a pot of suitable size.', 'Use an appropriate potting mix.', 'Transfer your plant to its new container.', 'Be prepared to use a stake to support the new plant.', 'To create two separate plants, pot a ""crown"" from the old plant.', 'Recognize the signs of under-watering and over-watering.', 'Repot a plant with root rot.', 'Use insecticidal soap to remove pests like aphids or mites.', 'Clean or dispose of a fungus-infected plant.']"
267,"If I over-fertilize my plants, how much time do I have to fix it before I do permanent damage?",ask_question_recipe_steps,"student: Do I really have to clean the scissors before I prune the plant? Does this help the plant stay healthy? | teacher: Yes you want clean shears so no other substances get on the plant | student: Okay, that makes sense!  Any other words of wisdom for me? | teacher: After you have pruned your lily you are going to want to add fertilizer. I've shared that step with you here.",Wizard-of-Task-diy-102,https://www.wikihow.com/Care-for-Peace-Lilies,diy,Yes there is.,answer_question_recipe_steps,diy,diy-102-6,How to Care for Peace Lilies,"
Peace lilies are one of the most popular varieties of houseplants. They're easy to maintain, and they can make a lovely addition to your home. By properly caring for your peace lilies, you'll have beautiful houseplants for years to come.
Horticulturist Lauren Kurtz writes: ""The Peace Lily loves its shade! Curled and pale leaves can indicate too much light and dried and browning leaves can be damaged from direct sunlight. Place this plant in low to moderate light conditions and never in the direct sun.""
",,"['Choose a spot for your peace lily.', 'Water the peace lily adequately.', 'Mist the leaves several times a week with a spray bottle.', 'Trim any unhealthy leaves from your plant.', 'If you fertilize, do so cautiously.', 'Recognize the signs that signify that re-potting is necessary.', 'Use a pot of suitable size.', 'Use an appropriate potting mix.', 'Transfer your plant to its new container.', 'Be prepared to use a stake to support the new plant.', 'To create two separate plants, pot a ""crown"" from the old plant.', 'Recognize the signs of under-watering and over-watering.', 'Repot a plant with root rot.', 'Use insecticidal soap to remove pests like aphids or mites.', 'Clean or dispose of a fungus-infected plant.']"
